0.768414,-0.994404,-0.116384,-0.00566093,-0.985117,-0.974513,-0.0996576,-0.778185,-0.135464,-0.00632053,-0.00595593
-0.177977,-0.600484,-0.196392,-0.764166,-0.14128,-0.0941331,-0.99819,-0.621301,-0.160117,-0.162666,-0.146262
-0.419638,-0.24979,0.861497,-0.224424,-0.958269,-0.0120596,-0.13142,-0.361338,-0.468804,-0.349879,-0.192198
-0.96894,-0.14536,-0.640421,0.0615652,-0.10766,-0.0606073,-0.517435,-0.0546289,-0.974964,-0.0585711,-0.606446
-0.430624,-0.0118232,-0.960806,-0.38866,0.661079,-0.582023,-0.654135,-0.0869197,-0.950703,-0.095344,-0.604811
-0.442952,-0.00960178,-0.667986,-0.845088,-0.0148952,0.0558919,-0.332292,-0.0181596,-0.0241227,-0.130154,-0.158812
-0.120136,-0.00564054,-0.858001,-1,-1,-0.184462,0.282143,-0.995558,-0.701093,0.452244,0.351443
-0.779152,-0.186948,-0.414449,-0.274884,-0.997477,-0.938955,-0.237568,0.335894,-1,-0.999633,-0.747925
-0.547639,-0.298849,-0.149234,-0.304481,-0.643992,-0.168103,-0.612965,-0.0669029,0.554792,-0.388271,-0.179704
-0.0354549,-0.884347,-0.674702,-0.847866,-0.122861,-0.0455074,-0.722563,-0.0906204,-0.531326,0.536734,-0.477433
-0.843637,-0.0534853,-0.0757193,-0.847021,-0.136037,-0.138666,-0.043665,-0.15544,-0.0518534,-0.993005,0.255026
6.02221e-13,1.7501e-08,0.00044746,0.048551,0.00545469,0.000645252,1.12761e-12,4.45222e-10,0.0468079,5.01326e-05,0.000289559
989.931,34.9367,816.787,833.289,877.169,327.152,786.269,13.7822,780.67,207.189,81.7239
578.188,282.792,626.425,326.626,240.115,260.403,389.201,363.773,490.295,439.225,223.189
