0.624781,-0.99645,-0.645739,-0.638298,-0.959165,-0.898988,-0.902418
-0.492884,0.193944,-0.472308,-0.535746,-0.425496,-0.587152,-0.311657
-0.758218,-0.987609,0.208072,-0.959232,-0.999922,-1,-0.890363
-0.242828,-0.417917,-0.999988,0.233072,-0.419891,-0.248184,-0.338966
-0.160304,-0.15766,-0.18036,-0.160747,-0.13961,-0.194569,-0.155804
-0.439508,-0.999627,-1,-0.00801123,-0.0300491,0.107016,-0.996456
-0.645261,-0.447965,-0.874256,-0.999781,-0.413468,-0.897181,0.468206
4.13672e-06,0.0508901,0.288388,7.23599e-05,0.149196,2.90482e-06,0.000847033
5.22306,13.9107,6.95929,13.4816,482.161,514.097,7.4379
324.329,606.743,370.121,271.443,433.325,232.463,490.815
