0.295911,-0.261467,-0.377212,-0.977774,-0.355359,-0.524544,-0.396963,-0.382618,-0.0957473
-0.644148,0.0986026,-0.611282,-0.32029,-0.475321,-0.36085,-0.774246,-0.188073,-0.187211
-0.69879,-0.00849926,0.0628503,-0.801534,-0.118699,-0.0851005,-0.0189518,-0.610829,-0.00791754
-0.661987,-0.907973,-0.14719,0.0743801,-0.179652,-0.149589,-0.626455,-0.311876,-0.6012
-0.175031,-0.29419,-0.329321,-0.965944,0.236062,-0.881574,-0.162955,-0.508411,-0.314384
-0.703659,-0.430035,-0.229632,-0.870741,-0.0265226,0.903063,-0.204176,-0.0406004,-0.7174
-0.0754676,-0.59172,-0.0781592,-0.0838892,-0.607964,-0.0806142,-0.598098,-0.0805641,-0.0842284
-0.438242,-0.390894,-0.360149,-0.282852,-0.372032,-0.421114,-0.988763,0.0502009,-0.286294
-0.558282,-0.565663,-0.328928,-0.878591,-0.421362,-0.662273,-0.530008,-1,0.381502
0.0096192,0.172405,2.88408e-05,0.13998,1.59493e-05,0.0171318,0.0274889,0.108531,0.00197585
928.141,417.412,400.047,878.739,17.2779,315.139,146.678,19.0922,9.62725
478.779,388.62,362.11,232.065,527.799,436.926,611.999,270.115,322.261
